country,city,income_id,advanced_thermal_treatment,anaerobic_digestion,compost,controlled_landfill,incineration,landfill_unspecified,open_dump,other,recycling,sanitary_landfill_landfill_gas_system,unaccounted_for,waterways_marine
Afghanistan,Jalalabad,LIC,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA
Afghanistan,Kandahar,LIC,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA
Afghanistan,Mazar-E-Sharif,LIC,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA
Afghanistan,Kabul,LIC,NA,NA,NA,NA,NA,NA,75,NA,NA,NA,25,NA
Afghanistan,HiratÂ ,LIC,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA
Angola,Luanda,LMC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Albania,Korca,UMC,NA,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA
Albania,Vlora,UMC,NA,NA,NA,NA,NA,NA,90,NA,10,NA,NA,NA
United Arab Emirates,Abu Dhabi,HIC,NA,NA,9,NA,NA,9,62,NA,20,NA,NA,NA
United Arab Emirates,Dubai,HIC,NA,NA,NA,NA,NA,NA,NA,NA,25,75,NA,NA
Argentina,CÃ³rdoba,HIC,NA,NA,NA,69.32,NA,NA,30,NA,0.68,NA,NA,NA
Argentina,Rosario,HIC,NA,NA,15.2,NA,NA,NA,NA,NA,NA,89.19,NA,NA
Argentina,Ciudada AutÃ³noma De Buenos Aires (Caba).,HIC,NA,NA,NA,NA,NA,NA,NA,14.42,7.2,61.5,16.88,NA
Armenia,Vanadzor,UMC,NA,NA,NA,NA,NA,NA,90,NA,NA,NA,10,NA
Armenia,Spitak,UMC,NA,NA,NA,NA,NA,NA,93.16,NA,NA,NA,6.84,NA
American Samoa,Pago Pago,UMC,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
Australia,Perth,HIC,NA,NA,NA,NA,NA,NA,NA,NA,18,NA,NA,NA
Australia,Melbourne,HIC,NA,NA,NA,74.19,NA,NA,NA,NA,25.81,NA,NA,NA
Australia,Canberra,HIC,NA,NA,NA,28,NA,NA,NA,NA,70,NA,2,NA
Austria,Vienna,HIC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Azerbaijan,Baku,UMC,NA,NA,NA,NA,24.21,NA,NA,NA,NA,36.36,49.22,NA
Burundi,Muyinga,LIC,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA
Burundi,Kayanza,LIC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Burundi,Ngozi,LIC,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA
Burundi,Bujumbura,LIC,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA
Belgium,Brussels,HIC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Belgium,Liege,HIC,NA,3,14,NA,26,NA,NA,NA,53,4,NA,NA
Benin,Porto Novo,LIC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Benin,Cotonou,LIC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Burkina Faso,Bobo Dioulasso,LIC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Burkina Faso,Ouagadougou,LIC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bangladesh,Patuakhali,LMC,NA,NA,NA,NA,NA,NA,55.45,NA,4.55,NA,40,NA
Bangladesh,Chittagong,LMC,NA,NA,0.42,NA,NA,NA,29.17,NA,12.41,NA,58,NA
Bangladesh,Rangpur,LMC,NA,NA,NA,NA,NA,NA,27.16,NA,4.84,NA,68,NA
Bangladesh,Dhaka,LMC,NA,NA,NA,NA,NA,NA,43.5,43,13.5,NA,NA,NA
Bangladesh,Rajshahi,LMC,NA,NA,NA,NA,NA,NA,67.29,NA,4.71,NA,28,NA
Bulgaria,Ruse,UMC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bulgaria,Burgas,UMC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bahrain,Manama,HIC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bosnia and Herzegovina,Banja Luka,UMC,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,NA,NA
Bosnia and Herzegovina,Sarajevo,UMC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Belarus,Minsk,UMC,NA,NA,NA,NA,NA,NA,NA,NA,NA,97,3,NA
Belarus,Grodno,UMC,NA,NA,NA,99.4,NA,NA,NA,NA,0.6,NA,NA,NA
Belize,San Pedro,UMC,NA,NA,NA,NA,NA,NA,NA,NA,NA,57.6,42.4,NA
